,2,Maintenance, LRG,RSA,2560,Newbridge Bridgewater Rd,ARNOLD,Seal Change,3.935,7.305,Maintenance Grade,Maintenance Grade,4,17310,3.37,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Newbridge Bridgewater Rd - RSA,1,0
,2 & 4,Maintenance, LRG,RGA,2557,Newbridge Bridgewater Rd,ARNOLD,Higgs,7.305,11.69,Maintenance Grade,Maintenance Grade,4,17311,4.385,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Newbridge Bridgewater Rd - RGA,2,0
,2,Maintenance, LRG,RSA,97,Rheola Arnold Rd,ARNOLD,00 Dunolly  Inglewood Rd,0,5.22,Maintenance Grade,Maintenance Grade,4,17310,5.22,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Rheola Arnold Rd - RSA,1,0
,2,Maintenance, LRG,RSA,3270,Simpsons Creek La,ARNOLD,00 Arnold-Rheola Rd,0,0.71,Maintenance Grade,Maintenance Grade,4,17310,0.71,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Simpsons Creek La - RSA,1,0
,0,Maintenance, LRG,RUF,4687,Wilsons La,ARNOLD,00 Bridgewater Dunolly,0,1.255,Maintenance Grade,Maintenance Grade,4,17312,1.255,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Wilsons La - RUF,0,0
,2,Maintenance, LRG,RGM,4689,Wilsons La,ARNOLD,00 Bridgewater Dunolly,1.255,3.525,Maintenance Grade,Maintenance Grade,4,17311,2.27,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Wilsons La - RGM,1,0
,2,Maintenance, LRG,RGM,5718,Wright Lane,ARNOLD,00 Dunolly Inglewood Rd,1.701,1.754,Maintenance Grade,Maintenance Grade,4,17311,0.053,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Wright Lane - RGM,1,0
,2 & 4,Maintenance, LRG,RGA,5721,Wright Lane,ARNOLD,00 Dunolly Inglewood Rd,0,1.701,Maintenance Grade,Maintenance Grade,4,17311,1.701,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD - Wright Lane - RGA,2,0
,0,Maintenance, LRG,RUF,3655,Allens Rd,ARNOLD WEST,Missing Ref,2.437,6.733,Maintenance Grade,Maintenance Grade,4,17312,4.296,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Allens Rd - RUF,0,0
,2,Maintenance, LRG,RGM,4114,Allens Rd,ARNOLD WEST,Reeola Arnold Road,4.01,4.64,Maintenance Grade,Maintenance Grade,4,17311,0.63,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Allens Rd - RGM,1,0
,2 & 4,Maintenance, LRG,RGA,33,Allens Rd,ARNOLD WEST,Rheola Llanelly Rd.,0,2.437,Maintenance Grade,Maintenance Grade,4,17311,2.437,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Allens Rd - RGA,2,0
